LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1395,MORE INFO,LEVEL
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات بنزین,مالیات بر فروش فرآورده‌های نفتی - مالیات بر بنزین به میزان ۲۰ درصد قیمت مصوب فروش,ردیف شماره ۱۱۰۵۰۱ از جدول شماره ۵,,"4,526.880",0.000,45.726,"4,572.606",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,دو درصد مالیات سایر کالاها,دو درصد مالیات سایر کالاها (معوق),ردیف شماره ۱۱۰۵۰۲ از جدول شماره ۵,,0.000,10.000,0.101,10.101,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,عوارض خروج از کشور,عوارض خروج مسافر از مرزهای کشور - عوارض خروج هوایی برای هر نفر پانصد و پنجاه هزار (۵۵۰۰۰۰) ریال و عوارض خروج زمینی و دریایی یکصد و ده هزار (۱۱۰۰۰۰) ریال عوارض خروج زائرین حج تمتع و عمره و عتبات عالیات برای خرج هوایی دویست و هفتاد و پنج هزار (۲۷۵۰۰۰) ریال و خروج زمینی و دریایی پنجاه و پنج هزار (۵۵۰۰۰) ریال,ردیف شماره ۱۱۰۵۰۴ از جدول شماره ۵,,0.000,396.584,0.000,396.584,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,درآمدهای قانونی (مربوط به شهرداری‌ها),مالیات موضوع تبصره ۳ ماده ۶ قانون تجمیع عوارض و درآمد موضوع تبصره ۱ ماده ۳۹ قانون مالیات بر ارزش افزوده,ردیف شماره ۱۱۰۵۰۵ از جدول شماره ۵,,0.000,0.000,564.000,564.000,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات فروش سیگار,مالیات بر فروش سیگار - بر اساس لازم الاجرا نبودن قانون ممنوعیت ورود برخی از کالاهای غیر ضرور مصوب ۲۲/۶/۱۳۷۴ و مجاز بودن تامین کسری سیگار از طریق واردات بر اساس لازم الاجرا نبودن قانون ممنوعیت ورود برخی از کالاهای غیر ضرور مصوب ۲۲/۶/۱۳۷۴ و مجاز بودن تامین کسری سیگار از طریق واردات,ردیف شماره ۱۱۰۵۰۶ از جدول شماره ۵,,0.000,445.041,4.495,449.536,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات نقل و انتقالات اتومبیل,مالیات بر نقل و انتقالات اتومبیل,ردیف شماره ۱۱۰۵۰۷ از جدول شماره ۵,,0.000,743.753,7.513,751.266,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات شماره‌گذاری خودرو,مالیات شماره‌گذاری خودرو,ردیف شماره ۱۱۰۵۰۸ از جدول شماره ۵,,0.000,771.609,7.794,779.403,,4
درآمدها,مالیات,مالیات بر کالا و خدمات,مالیات ارزش افزوده,مالیات بر ارزش افزوده,ردیف شماره ۱۱۰۵۱۲ از جدول شماره ۵,,0.000,"24,855.374",251.064,"25,106.438",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,یک درصد مالیات بر ارزش افزوده برای بخش سلامت,درآمد حاصل از یک درصد نرخ مالیات بر ارزش افزوده موضوع ماده (۳۷) قانون الحاق (برخی مواد به قانون تنظیم بخشی از مقررات مالی دولت (۲),ردیف شماره ۱۱۰۵۱۳ از جدول شماره ۵,,0.000,"5,000.000",50.505,"5,050.505",,4
درآمدها,مالیات,مالیات بر کالا و خدمات,,مالیات بر کالاها و خدمات,ردیف شماره ۱۱۰۵۰۰ از جدول شماره ۵,,"4,526.880","32,222.361",931.198,"37,680.439",,3
درآمدها,مالیات,,,درآمدها مالیاتی,ردیف شماره ۱۱۰۰۰۰ از جدول شماره ۵,,"32,401.985","71,426.085","1,709.882","105,537.952",,2
درآمدها,حق بیمه,,,درآمد ناشی از کمک‌های اجتماعی، حق بیمه، حق بیمه شخص ثالث، سرنشین و مازاد,ردیف شماره ۱۲۰۰۰۰ از جدول شماره ۵,,0.000,0.000,"1,500.000","1,500.000",,2
درآمدها,حق مالکیت,سود سهام دولتی,سود سهام ابزاری شرکت‌های دولتی,سود سهام ابزاری (۴۰ درصد سود ویژه و سود سهم دولت - علی الحساب جاری) کلیه‌ی‌ شرکت‌های دولتی,ردیف شماره ۱۳۰۱۰۱ از جدول شماره ۵,,"11,678.518",0.000,0.000,"11,678.518",,4
درآمدها,حق مالکیت,سود سهام دولتی,سود سهام معوقه شرکت‌های دولتی,سود سهام معوقه شرکت‌های دولتی,ردیف شماره ۱۳۰۱۰۵ از جدول شماره ۵,,"4,002.662",0.000,0.000,"4,002.662",,4
درآمدها,حق مالکیت,سود سهام دولتی,سود سهام شرکت‌های نیمه دولتی,سود سهام شرکت‌های با سهم دولتی کمتر از پنجاه درصد,ردیف شماره ۱۳۰۱۰۸ از جدول شماره ۵,,500.000,0.000,0.000,500.000,,4
درآمدها,حق مالکیت,سود سهام دولتی,,سود سهام شرکت‌های دولتی,ردیف شماره ۱۳۰۱۰۰ از جدول شماره ۵,,"16,181.180",0.000,0.000,"16,181.180",,3
درآمدها,حق مالکیت,درآمد اجاره ,,درآمدهای حاصل از اجاره ساختمان‌ها و اراضی (از جمله امکانات، اماکن و فضاهای آموزشی، فرهنگی، هنری و ورزشی کلیه دستگاه‌های اجرایی),ردیف شماره ۱۳۰۳۰۰ از جدول شماره ۵,,70.500,82.900,3.100,156.500,,3
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,حق امتیاز شبکه (ارتباطات و فناوری اطلاعات),درآمد حاصل از مالکیت دولت در بخش ارتباطات و فناوری اطلاعات - حق امتیاز شبکه و جریمه عدم انجام تعهدات - حق امتیاز شبکه و جریمه عدم انجام تعهدات,ردیف شماره ۱۳۰۴۰۴ از جدول شماره ۵,,"3,640.000",0.000,0.000,"3,640.000",,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,نیم درصد درآمد مشمول مالیات بانک‌های کشور,نیم درصد درآمد مشمول مالیات بانک‌های کشور (موضوع قانون تهیه مسکن برای افراد کم درآمد) ,ردیف شماره ۱۳۰۴۰۵ از جدول شماره ۵,,41.000,0.000,0.000,41.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,بهره مالکانه و حقوق دولتی معادن,درآمد حاصل از بهره مالکانه و حقوق دولتی معادن,ردیف شماره ۱۳۰۴۰۸ از جدول شماره ۵,,900.000,0.000,0.000,900.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد خدمات عمومی اجباری روستایی,درآمد حاصل از خدمات عمومی اجباری روستایی,ردیف شماره ۱۳۰۴۱۲ از جدول شماره ۵,,349.088,0.000,0.000,349.088,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد نامبرینگ (شماره‌گذاری مخابراتی) ,درآمد حاصل از نامبرینگ (شماره‌گذاری مخابراتی) ,ردیف شماره ۱۳۰۴۱۳ از جدول شماره ۵,,70.000,0.000,0.000,70.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد از حق‌السهم سازمان,درآمد حاصل از حق‌السهم سازمان,ردیف شماره ۱۳۰۴۱۴ از جدول شماره ۵,,37.000,0.000,0.000,37.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد فعالیت‌های نظام تایید صلاحیت,درآمد حاصل از فعالیت‌های نظام تایید صلاحیت,ردیف شماره ۱۳۰۴۱۵ از جدول شماره ۵,,2.000,0.000,0.000,2.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد بهره مالکانه طرح‌های جنگلداری,درآمد حاصل از بهره مالکانه طرح‌های جنگلداری و محصولات جنگلی و مرتعی,ردیف شماره ۱۳۰۴۱۶ از جدول شماره ۵,,20.000,0.000,0.000,20.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,بدهی معوقه اپراتورهای مخابراتی,بدهی معوقه اپراتورهای مخابراتی,ردیف شماره ۱۳۰۴۱۷ از جدول شماره ۵,,600.000,0.000,0.000,600.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,عوارض پروانه اکتشاف معدن,درآمد حاصل از تبصره‌های (۲) و (۳) ماده ۶ قانون اصلاح قانون معادن,ردیف شماره ۱۳۰۴۱۸ از جدول شماره ۵,,15.000,0.000,0.000,15.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد حق انتفاع پروانه بهره‌برداری از معادن,درآمد حاصل از حق انتفاع پروانه بهره‌برداری از معادن,ردیف شماره ۱۳۰۴۱۹ از جدول شماره ۵,,"1,200.000",0.000,0.000,"1,200.000",,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد صدور مجوزهای شورای عالی فضای مجازی,درآمد حاصل از حق مالکیت دولت در بخش ارتباطات و فناوری اطلاعات - مجوزهای صادر شده توسط شورای عالی فضای مجازی,ردیف شماره ۱۳۰۴۲۰ از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,حق انحصار محصولات دخانی,درآمد وزارت صنعت، معدن و تجارت بابت هولوگرام و سایر حقوق انحصار محصولات دخانی,ردیف شماره ۱۳۰۴۲۱ از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد فروش هولوگرام حامل‌های دیجیتال,درآمد حاصل از فروش تمام نگاشت (هولوگرام) حامل‌های دیجیتال,ردیف شماره ۱۳۰۴۲۲ از جدول شماره ۵,,4.200,0.000,0.000,4.200,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,درآمد واگذاری، استخراج و فروش معادن,درآمد حاصل از واگذاری، استخراج و فروش معادن,ردیف شماره ۱۳۰۴۲۳ از جدول شماره ۵,,200.000,0.000,0.000,200.000,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,یک درصد اعتبارات عمرانی شرکت‌ها برای آموزش و پرورش,یک درصد اعتبارات هزینه‌ای و تملک دارایی‌های سرمایه‌ای شرکت‌ها برای بخش آموزش و پرورش,ردیف شماره ۱۳۰۴۲۴ از جدول شماره ۵,,149.600,0.000,0.000,149.600,,4
درآمدها,حق مالکیت,سایر درآمدهای مالکیتی,,سایر درآمدهای مالکیتی,ردیف شماره ۱۳۰۴۰۰ از جدول شماره ۵,,"7,627.888",0.000,0.000,"7,627.888",,3
درآمدها,حق مالکیت,,,درآمدهای حاصل از مالکیت دولت,ردیف شماره ۱۳۰۰۰۰ از جدول شماره ۵,,"23,879.568",82.900,3.100,"23,965.568",,2
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات قضایی,درآمدحاصل از خدمات قضایی,ردیف شماره ۱۴۰۱۰۱ از جدول شماره ۵,,"2,821.000",80.000,0.000,"2,901.000",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات آموزشی و فرهنگی,درآمد حاصل از خدمات آموزشی و فرهنگی,ردیف شماره ۱۴۰۱۰۳ از جدول شماره ۵,,187.515,0.710,"3,640.012","3,828.237",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات بهداشتی و درمانی,درآمد حاصل از خدمات بهداشتی و درمانی,ردیف شماره ۱۴۰۱۰۴ از جدول شماره ۵,,70.000,110.000,"22,173.940","22,353.940",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کشاورزی، صنعتی و معدنی,درآمد حاصل از خدمات کشاورزی، صنعتی و معدنی,ردیف شماره ۱۴۰۱۰۵ از جدول شماره ۵,,28.000,8.100,95.100,131.200,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد مخابراتی ,درآمد حاصلی از خدمات مخابراتی - حق استفاده از فرکانس رادیویی,ردیف شماره ۱۴۰۱۰۶ از جدول شماره ۵,,128.920,0.000,0.000,128.920,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات پژوهشی و تحقیقاتی,درآمد حاصل از خدمات پژوهشی و تحقیقاتی (از جمله درآمد اختصاصی سازمان هواشناسی کشور بابت ارائه خدمات فنی، آموزشی، پژوهشی به متقاضیان) ,ردیف شماره ۱۴۰۱۰۷ از جدول شماره ۵,,0.000,0.000,"1,037.621","1,037.621",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات آزمایشگاهی,درآمد حاصل از خدمات آزمایشگاهی,ردیف شماره ۱۴۰۱۰۸ از جدول شماره ۵,,6.000,86.600,14.060,106.660,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کنسولی,درآمد حاصل از خدمات کنسولی,ردیف شماره ۱۴۰۱۰۹ از جدول شماره ۵,,350.000,0.000,0.000,350.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور و تمدید گواهینامه هوایی,درآمد حاصل از انجام آزمایش استاندارد دستگاه‌های کمک ناوبری در داخل و خارج از کشور و صدور تمدید گواهینامه، اجازه‌نامه و پروانه بهره‌برداری هوایی,ردیف شماره ۱۴۰۱۱۰ از جدول شماره ۵,,0.000,0.000,15.500,15.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات ثبتی,درآمد حاصل از خدمات ثبتی,ردیف شماره ۱۴۰۱۱۱ از جدول شماره ۵,,0.350,852.500,617.500,"1,470.350",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات گمرکی,درآمد حاصل از خدمات گمرکی,ردیف شماره ۱۴۰۱۱۲ از جدول شماره ۵,,0.000,110.000,0.000,110.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,صدور و تمدید گذرنامه,درآمد حاصل از اخذ ۶۰۰ هزار ریال بابت صدور، تعویض و تمدید گذرنامه,ردیف شماره ۱۴۰۱۱۳ از جدول شماره ۵,,0.000,350.000,0.000,350.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,تعویض پلاک خودرو,درآمد حاصل از واگذاری و تعویض پلاک خودرو و موتور سیکلت,ردیف شماره ۱۴۰۱۱۴ از جدول شماره ۵,,332.000,0.000,0.000,332.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,بازارچه‌های مشترک مرزی,درآمد حاصل از ارائه خدمات و اجازه استفاده از امکانات بازارچه‌های مشترک مرزی (معادل وجوه واریزی در هر استان بر اساس موافقت‌نامه‌های مبادله شده برای اداره امور بازارچه‌ها در همان استان هزینه خواهد شد) ,ردیف شماره ۱۴۰۱۱۵ از جدول شماره ۵,,0.000,18.000,0.000,18.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات الکترونیکی,درآمد حاصل از ارائه خدمات الکترونیکی (به کلیه اشخاص حقیقی و حقوقی اعم از دولتی و غیر دولتی),ردیف شماره ۱۴۰۱۱۶ از جدول شماره ۵,,160.000,0.000,0.000,160.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد هنرستان‌های فنی و حرفه‌ای,درآمد حاصل از هنرستان‌های فنی و حرفه‌ای,ردیف شماره ۱۴۰۱۱۷ از جدول شماره ۵,,0.000,26.000,0.000,26.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمدهای قانونی (مربوط به آموزش و پروش),درآمد حاصل از بند ۲ ماده ۱۳ و مواد ۱۶ و ۱۸ قانون تشکیل شوراهای آموزش و پرورش,ردیف شماره ۱۴۰۱۱۸ از جدول شماره ۵,,0.000,125.000,0.000,125.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمدهای قانونی (مربوط به طرح جامع و حریم شهرها),درآمد حاصل از خدمات شهری (ماده ۹۹ قانون شهرداری‌ها) ,ردیف شماره ۱۴۰۱۱۹ از جدول شماره ۵,,0.000,7.000,0.000,7.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,فروش سایر خدمات,درآمد حاصل از فروش سایر خدمات,ردیف شماره ۱۴۰۱۲۰ از جدول شماره ۵,,111.800,60.550,871.418,"1,043.768",,4
درآمدها,فروش کالا و خدمات,فروش خدمات,حق‌ ثبت دارو,درآمد حاصل از حق‌الثبت، دارو یا مواد اولیه آن، کارخانه‌ تولید کننده فراورده‌های آرایشی، بهداشتی غذایی یا مواد اولیه، تجهیزات پزشکی و آزمایشگاهی,ردیف شماره ۱۴۰۱۲۱ از جدول شماره ۵,,0.000,0.000,20.000,20.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ثبت بین‌المللی مالکیت صنعتی,درآمد حاصل از ثبت بین‌المللی مالکیت صنعتی,ردیف شماره ۱۴۰۱۲۳ از جدول شماره ۵,,4.000,0.000,0.000,4.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد تبدیل اسناد به میکروفیلم,درآمد حاصل از تبدیل اسناد به میکروفیلم,ردیف شماره ۱۴۰۱۲۴ از جدول شماره ۵,,0.000,0.000,0.100,0.100,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ورودی موزه‌ها,درآمد حاصل از ورودی موزه‌ها,ردیف شماره ۱۴۰۱۲۵ از جدول شماره ۵,,30.135,60.000,0.000,90.135,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد تعویض سندهای مالکیت,درآمد حاصل از تعویض سندهای مالکیت,ردیف شماره ۱۴۰۱۴۱ از جدول شماره ۵,,180.000,0.000,0.000,180.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور گواهی الکترونیکی,درآمد حاصل از صدور گواهی الکترونیکی,ردیف شماره ۱۴۰۱۴۲ از جدول شماره ۵,,2.500,0.000,0.000,2.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ارائه خدمات به موسسات برقی,درآمد موضوع تبصره ماده ۸ قانون برق,ردیف شماره ۱۴۰۱۴۴ از جدول شماره ۵,,40.000,0.000,0.000,40.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات, درآمد مراکز آموزشی و رفاهی,درآمد حاصل از مراکز آموزشی و رفاهی,ردیف شماره ۱۴۰۱۴۵ از جدول شماره ۵,,0.000,210.000,1.700,211.700,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات کارشناسی,درآمد حاصل از کارشناسی رسیدگی به شکایات مناقصات و هزینه پایش و بررسی پرونده‌های تشخیص صلاحیت عوامل فنی، اجرایی,ردیف شماره ۱۴۰۱۴۶ از جدول شماره ۵,,7.000,0.000,0.000,7.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد جذب هیات علمی دانشگاه‌ها,درآمد حاصل از جذب و گزینش اعضای هیات علمی دانشگاه‌ها و موسسات آموزش عالی,ردیف شماره ۱۴۰۱۴۷ از جدول شماره ۵,,0.000,0.000,2.500,2.500,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد پرونده‌های غیر کیفری مالی,درآمد حاصل از طرح پرونده‌های غیر کیفری مالی در محاکم قضایی (علاوه بر هزینه دادرسی مصوب) ,ردیف شماره ۱۴۰۱۴۸ از جدول شماره ۵,,8.000,0.000,0.000,8.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور کارت هوشمند ملی,درآمد حاصل از ثبت‌نام و صدور کارت هوشمند ملی,ردیف شماره ۱۴۰۱۴۹ از جدول شماره ۵,,300.000,0.000,0.000,300.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد هوشمندسازی گواهینامه رانندگی,درآمد حاصل از صدور، تعویض و تبدیل گواهینامه رانندگی عادی به هوشمند,ردیف شماره ۱۴۰۱۵۱ از جدول شماره ۵,,0.000,160.000,0.000,160.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,جریمه دیرکرد تعویض گواهینامه,درآمد حاصل از تعویق در تعویض گواهینامه,ردیف شماره ۱۴۰۱۵۲ از جدول شماره ۵,,0.000,10.000,0.000,10.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد انگشت‌نگاری,درآمد حاصل از انگشت‌نگاری,ردیف شماره ۱۴۰۱۵۴ از جدول شماره ۵,,0.000,15.000,0.000,15.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور کارت معافیت سربازی,درآمد حاصل از صدور کارت معافیت دائم مشمولان وظیفه از خدمت سربازی,ردیف شماره ۱۴۰۱۵۵ از جدول شماره ۵,,0.000,20.000,0.000,20.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات سواد آموزی,درآمد حاصل از خدمات نهضت سواد آموزی شامل کمک‌های بین المللی، اجاره ساختمان‌ها و سایر خدمات آموزشی، پرورشی رایانه‌ای و فروش نشریات,ردیف شماره ۱۴۰۱۵۶ از جدول شماره ۵,,0.000,0.000,1.200,1.200,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات انتظامی,درآمد حاصل از خدمات انتظامی,ردیف شماره ۱۴۰۱۵۷ از جدول شماره ۵,,0.000,102.200,0.000,102.200,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد دانشگاه‌های افسری,درآمد حاصل از جذب و استخدام داوطلبان دانشگاه‌های افسری آجا,ردیف شماره ۱۴۰۱۵۸ از جدول شماره ۵,,0.000,0.000,3.000,3.000,,4
