LEVEL1,LEVEL2,LEVEL3,LEVEL4,TOOLTIP,SOURCE,SOURCE URL,SIDEBAR1,SIDEBAR2,SIDEBAR3,1396,MORE INFO,LEVEL
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد نظارت و مراقبت الکترونیکی,درآمد حاصل از نظارت و مراقبت الکترونیکی,ردیف شماره 140164 از جدول شماره ۵,,1.000,0.000,0.000,1.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد یک در هزار حق‌الثبت اموال غیر دولتی,درآمد حاصل از یک در هزار قیمت منطقه‌ای حق‌الثبت اموال غیر دولتی,ردیف شماره 140165 از جدول شماره ۵,,0.200,0.000,0.000,0.200,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور الکترونیکی اسناد رسمی,درآمد حاصل از صدور الکترونیکی اسناد رسمی,ردیف شماره 140166 از جدول شماره ۵,,100.000,0.000,0.000,100.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد افزایش تعرفه استعلام املاک,درآمد حاصل از افزایش تعرفه پاسخ الکترونیک به استعلام وضعیت املاک بانک جامع اطلاعات,ردیف شماره 140167 از جدول شماره ۵,,100.000,0.000,0.000,100.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات رفاهی دانشجویان,درآمد حاصل از خدمات رفاهی دانشجویان,ردیف شماره 140168 از جدول شماره ۵,,0.000,0.000,151.144,151.144,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور کارنامه شغلی ایرانیان خارج از کشور,درآمد حاصل از صدور کارنامه شغلی ایرانیان خارج از کشور,ردیف شماره 140169 از جدول شماره ۵,,2.000,0.000,0.000,2.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد خدمات دهی به اماکن عمومی,درآمد حاصل از خدمات دهی به اماکن عمومی,ردیف شماره 140172 از جدول شماره ۵,,32.000,0.000,0.000,32.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد صدور دفترچه ترانزیت رانندگی,درآمد حاصل از صدور دفترچه ترانزیت رانندگی,ردیف شماره 140173 از جدول شماره ۵,,5.000,0.000,0.000,5.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,درآمد ارائه خدمات الکترونیکی به دستگاه‌ها,درآمد حاصل از ارائه خدماتالکترونیکی به دستگاه‌ها و سازمان‌های دولتی و عمومی,ردیف شماره 140174 از جدول شماره ۵,,100.000,0.000,0.000,100.000,,4
درآمدها,فروش کالا و خدمات,فروش خدمات,,درآمدهای حاصل از خدمات,ردیف شماره 140100 از جدول شماره ۵,,"5,884.730","2,573.505","33,033.090","41,491.325",,3
درآمدها,فروش کالا و خدمات,فروش کالا,درآمد فروش کالاهای کشاورزی,درآمد حاصل از فروش کالاهای کشاورزی,ردیف شماره 140201 از جدول شماره ۵,,27.400,2.400,0.000,29.800,,4
درآمدها,فروش کالا و خدمات,فروش کالا,درآمد چاپ، توزیع و فروش کتب و نشریات,درآمد حاصل از چاپ، توزیع و فروش کتب و نشریات و واگذاری آن‌ها,ردیف شماره 140203 از جدول شماره ۵,,3.960,0.000,10.870,14.830,,4
